x_um	field_Hz
1.742489999999999952e+02	1.000000000000000000e+00
1.752680000000000007e+02	1.000000000000000000e+00
1.762869999999999777e+02	1.000000000000000000e+00
1.773059999999999832e+02	1.000000000000000000e+00
1.783249999999999886e+02	1.000000000000000000e+00
1.793439999999999941e+02	1.000000000000000000e+00
1.803629999999999711e+02	1.000000000000000000e+00
1.813819999999999766e+02	1.000000000000000000e+00
1.824009999999999820e+02	1.000000000000000000e+00
1.834199999999999875e+02	1.000000000000000000e+00
1.844389999999999645e+02	1.000000000000000000e+00
1.854579999999999700e+02	1.000000000000000000e+00
1.864769999999999754e+02	1.000000000000000000e+00
1.874960000000000093e+02	1.000000000000000000e+00
1.885149999999999864e+02	1.000000000000000000e+00
1.895339999999999918e+02	1.000000000000000000e+00
1.905529999999999973e+02	1.000000000000000000e+00
1.915719999999999743e+02	1.000000000000000000e+00
1.925909999999999798e+02	1.000000000000000000e+00
1.936099999999999852e+02	1.000000000000000000e+00
1.946289999999999907e+02	1.000000000000000000e+00
1.956479999999999677e+02	1.000000000000000000e+00
1.966669999999999732e+02	1.000000000000000000e+00
1.976859999999999786e+02	1.000000000000000000e+00
1.987049999999999841e+02	1.000000000000000000e+00
1.997239999999999611e+02	1.000000000000000000e+00
2.007429999999999666e+02	1.000000000000000000e+00
2.017619999999999720e+02	1.000000000000000000e+00
2.027809999999999775e+02	1.000000000000000000e+00
2.037999999999999545e+02	1.000000000000000000e+00
2.048189999999999884e+02	1.000000000000000000e+00
2.058379999999999939e+02	1.000000000000000000e+00
2.068569999999999993e+02	1.000000000000000000e+00
2.078759999999999764e+02	1.000000000000000000e+00
2.088949999999999818e+02	1.000000000000000000e+00
2.099139999999999873e+02	1.000000000000000000e+00
2.109329999999999927e+02	1.000000000000000000e+00
2.119519999999999698e+02	1.000000000000000000e+00
2.129709999999999752e+02	1.000000000000000000e+00
2.139899999999999807e+02	1.000000000000000000e+00
2.150089999999999861e+02	1.000000000000000000e+00
2.160279999999999632e+02	1.000000000000000000e+00
2.170469999999999686e+02	1.000000000000000000e+00
2.180659999999999741e+02	1.000000000000000000e+00
2.190849999999999795e+02	1.000000000000000000e+00
2.201039999999999850e+02	1.000000000000000000e+00
2.211229999999999905e+02	1.000000000000000000e+00
2.221419999999999959e+02	1.000000000000000000e+00
2.231609999999999729e+02	1.000000000000000000e+00
2.241799999999999784e+02	1.000000000000000000e+00
