sample_idx,rel_param_dist,mae_counts_per_shot,rmse_counts_per_shot,flip_rate,total_shift_vs_baseline,total_defects,corrected_total,rejected_total,param__gaussian_sigma,param__derivative_threshold,param__derivative_threshold_pos,param__derivative_threshold_neg,param__peak_step_filter_enabled,param__peak_step_filter_window_px,param__peak_step_filter_min_abs_delta_m,param__min_same_sign_peak_distance_um,param__zero_crossing_min_distance_um,param__defect_position_hist_half_window_um
110,0.16915069462075533,0.7037037037037037,1.2619796324000607,0.37037037037037035,11,460,54,47,0.3300491985747611,0.0,0.06218885971009755,-0.03291457415869113,True,5,0.07131265676846492,7.534444163489756,2.586577460934037,4.0
132,0.2967454303918096,0.7037037037037037,1.2619796324000607,0.37037037037037035,9,458,25,14,0.3871517853440046,0.0,0.05045352668103472,-0.04143868822063482,True,3,0.08866536834355088,6.7830352261422995,4.932679456219759,4.0
283,0.16988086514065168,0.7037037037037037,1.3471506281091268,0.37037037037037035,15,464,39,51,0.34146862235800163,0.0,0.05324508300940417,-0.031134270610098855,True,5,0.07608148668253305,5.525027886430353,3.224175449790769,4.0
210,0.17478142871988528,0.7037037037037037,1.2322818340454909,0.4074074074074074,17,466,27,83,0.27847634526874154,0.0,0.04466624668894758,-0.027613336670517834,True,3,0.10694439756270079,7.440651927993645,2.2802197379376,4.0
203,0.2051950368237467,0.7037037037037037,1.1385500851066221,0.4444444444444444,17,466,24,99,0.3122865062713501,0.0,0.034533573404131185,-0.030546695707628285,True,4,0.10450886073943462,9.551568342636505,3.1774085584815923,4.0
299,0.20000462360603227,0.7037037037037037,1.0715167512214394,0.48148148148148145,17,466,83,65,0.3370239782512214,0.0,0.07225519255831585,-0.02472507032883488,True,3,0.09770733986363449,6.4383725222121,3.3104562056375246,4.0
57,0.25686907324226466,0.7407407407407407,1.2765694770084508,0.37037037037037035,-16,433,30,73,0.20593900470964707,0.0,0.05144382585146291,-0.03097483696956668,True,4,0.11358350976309822,10.99517187006067,3.1330231037325804,4.0
61,0.15266087642146267,0.7407407407407407,1.186342028003479,0.4074074074074074,20,469,23,74,0.3739637098111686,0.0,0.04026043947725459,-0.030392766870260123,True,4,0.10356890652203098,7.571029884819394,2.7820759637881247,4.0
171,0.15919600711846313,0.7407407407407407,1.2765694770084508,0.4074074074074074,16,465,38,52,0.3534218244149636,0.0,0.05119621112016895,-0.032328228286640684,True,5,0.07862880032127223,6.930917322281162,2.508758361306133,4.0
280,0.22178301969489797,0.7407407407407407,1.1547005383792515,0.4444444444444444,6,455,118,28,0.3073322618981506,0.0,0.08234370854478275,-0.037352216834472825,True,4,0.08493979610663713,8.107874490140581,2.3685456222135812,4.0
